Account Name,Client ID,Entity Type,State,County,Fiscal Year,EIN,SSN Last 4,Linked Contacts,Tax Profile,Tax Jurisdiction,Period Month,Tax Year,Filing Form,Filing Frequency,Due Date,Filing Status,Amount Due,Custom Deadline Note
"Harbor & Pine Family Office",HPFO-2026-011,Individual,California,San Francisco,Calendar Year,,4321,"Alex Harbor",California individual income tax,California,April,2026,CA 540,Annual,2026-04-15,Needs client documents,0,"State individual return tied to same owner"
"Harbor & Pine Family Office",HPFO-2026-012,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal estimated tax,Federal,April,2026,1120-W,Quarterly,2026-04-15,Open,4500.00,"Q1 federal estimated tax"
"Harbor & Pine Family Office",HPFO-2026-013,Individual,California,San Francisco,Calendar Year,,4321,"Alex Harbor",Individual estimated tax,Federal,May,2026,1040-ES,Quarterly,2026-04-15,Open,7200.00,"Owner Q1 estimated tax voucher"
"Harbor & Pine Family Office",HPFO-2026-014,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",California LLC fee,California,May,2026,FTB 3536,Annual,2026-06-15,Scheduled,2500.00,"Estimated LLC fee for gross receipts"
"Harbor & Pine Family Office",HPFO-2026-015,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,May,2026,CDTFA-401-A,Monthly,2026-06-30,Open,2088.40,"May CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-016,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal estimated tax,Federal,June,2026,1120-W,Quarterly,2026-06-15,Scheduled,4750.00,"Q2 federal estimated tax"
"Harbor & Pine Family Office",HPFO-2026-017,Individual,California,San Francisco,Calendar Year,,4321,"Alex Harbor",Individual estimated tax,Federal,June,2026,1040-ES,Quarterly,2026-06-15,Scheduled,7400.00,"Owner Q2 estimated tax voucher"
"Harbor & Pine Family Office",HPFO-2026-018,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,June,2026,CDTFA-401-A,Monthly,2026-07-31,Open,2155.65,"June CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-019,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal payroll tax,Federal,July,2026,941,Quarterly,2026-07-31,Scheduled,12925.00,"Q2 payroll return"
"Harbor & Pine Family Office",HPFO-2026-020,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",California payroll tax,California,July,2026,DE 9,Quarterly,2026-07-31,Scheduled,3375.20,"Q2 state payroll return"
"Harbor & Pine Family Office",HPFO-2026-021,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,July,2026,CDTFA-401-A,Monthly,2026-08-31,Open,1925.75,"July CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-022,C Corporation,California,San Francisco,Calendar Year,44-2223333,,"Priya Pine",Federal C corporation income tax,Federal,August,2026,1120,Annual,2026-04-15,Extended,0,"Extended C corp profile for affiliated holding company"
"Harbor & Pine Family Office",HPFO-2026-023,C Corporation,California,San Francisco,Calendar Year,44-2223333,,"Priya Pine",California corporation return,California,August,2026,CA 100,Annual,2026-04-15,Extended,800,"Extended CA corporation profile"
"Harbor & Pine Family Office",HPFO-2026-024,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,August,2026,CDTFA-401-A,Monthly,2026-09-30,Open,2010.10,"August CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-025,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal estimated tax,Federal,September,2026,1120-W,Quarterly,2026-09-15,Scheduled,4900.00,"Q3 federal estimated tax"
"Harbor & Pine Family Office",HPFO-2026-026,Individual,California,San Francisco,Calendar Year,,4321,"Alex Harbor",Individual estimated tax,Federal,September,2026,1040-ES,Quarterly,2026-09-15,Scheduled,7600.00,"Owner Q3 estimated tax voucher"
"Harbor & Pine Family Office",HPFO-2026-027,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,September,2026,CDTFA-401-A,Monthly,2026-10-31,Open,2198.35,"September CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-028,Individual,California,San Francisco,Calendar Year,,4321,"Alex Harbor",Individual extended return,Federal,October,2026,1040,Annual,2026-10-15,Scheduled,0,"Extended individual return final due date"
"Harbor & Pine Family Office",HPFO-2026-029,Trust,California,San Francisco,Calendar Year,55-3334444,,"Alex Harbor",Trust and estate income tax,Federal,October,2026,1041,Annual,2026-04-15,Extended,0,"Family trust return under extended deadline"
"Harbor & Pine Family Office",HPFO-2026-030,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal payroll tax,Federal,October,2026,941,Quarterly,2026-10-31,Scheduled,13110.50,"Q3 payroll return"
"Harbor & Pine Family Office",HPFO-2026-031,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,November,2026,CDTFA-401-A,Monthly,2026-12-31,Open,2240.80,"November CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-032,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",California payroll tax,California,November,2026,DE 9,Quarterly,2026-10-31,Scheduled,3420.40,"Q3 state payroll return"
"Harbor & Pine Family Office",HPFO-2026-033,Partnership,California,San Francisco,Calendar Year,98-7654321,,"Alex Harbor; Priya Pine",Partner K-1 package,Federal,November,2026,K-1,Annual,2026-09-15,Extended,0,"Extended partner package follow-up"
"Harbor & Pine Family Office",HPFO-2026-034,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Federal payroll tax,Federal,December,2026,941 deposit,Monthly,2027-01-15,Scheduled,13480.00,"Monthly federal payroll tax deposit"
"Harbor & Pine Family Office",HPFO-2026-035,LLC,California,San Francisco,Calendar Year,33-1112222,,"Priya Pine",Sales and use tax,California,December,2026,CDTFA-401-A,Monthly,2027-01-31,Scheduled,2315.25,"December CA sales tax profile"
"Harbor & Pine Family Office",HPFO-2026-036,S Corporation,California,San Francisco,Calendar Year,12-3456789,,"Alex Harbor; Priya Pine",Year-end information return,Federal,December,2026,1099-NEC,Annual,2027-01-31,Scheduled,0,"Vendor 1099 year-end filing"
